step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
187,3.7400,2.866686,2,head_bob,0.115510,-0.001717,-0.000622,0.000207,0.020887
188,3.7600,3.117929,2,head_bob,0.115482,-0.001314,0.000569,-0.002062,0.016257
189,3.7800,-2.914012,2,head_bob,0.115446,-0.001186,0.001879,-0.001526,-0.003282
190,3.8000,-2.662769,2,head_bob,0.115384,-0.001109,0.003292,-0.002886,-0.000624
191,3.8200,-2.411525,2,head_bob,0.115339,-0.001242,0.004620,-0.002037,-0.010922
192,3.8400,-2.160281,2,head_bob,0.115299,-0.001372,0.005550,-0.001403,-0.008858
193,3.8600,-1.909038,2,head_bob,0.115289,-0.001567,0.005808,-0.000057,-0.009126
194,3.8800,-1.657794,2,head_bob,0.115297,-0.001742,0.005505,0.000604,-0.007881
195,3.9000,-1.406551,2,head_bob,0.115318,-0.001877,0.004761,0.001320,-0.004034
196,3.9200,-1.155307,2,head_bob,0.115351,-0.001961,0.003832,0.001883,-0.002688
197,3.9400,-0.904063,2,head_bob,0.115369,-0.001851,0.003180,0.000770,0.009049
198,3.9600,-0.652820,2,head_bob,0.115386,-0.001657,0.002820,0.000876,0.010170
199,3.9800,-0.401576,2,head_bob,0.115391,-0.001590,0.002734,0.000458,0.004130
200,4.0000,-0.150332,2,head_bob,0.115399,-0.001492,0.002811,0.000323,0.005750
201,4.0200,0.100911,2,head_bob,0.115399,-0.001346,0.003029,-0.000250,0.008105
202,4.0400,0.352155,2,head_bob,0.115399,-0.001280,0.003172,-0.000369,0.002497
203,4.0600,0.603399,2,head_bob,0.115392,-0.001273,0.002939,-0.000038,-0.004089
204,4.0800,0.854642,2,head_bob,0.115399,-0.001441,0.002403,0.001150,-0.003395
205,4.1000,1.105886,2,head_bob,0.115421,-0.001485,0.001507,0.000717,-0.004364
206,4.1200,1.357129,2,head_bob,0.115454,-0.001583,0.000183,0.002311,-0.002330
207,4.1400,1.608373,2,head_bob,0.115502,-0.001705,-0.001147,0.001824,-0.002555
208,4.1600,1.859617,2,head_bob,0.115525,-0.001727,-0.002020,0.000969,0.000043
209,4.1800,2.110860,2,head_bob,0.115541,-0.001780,-0.002285,0.000674,-0.003542
210,4.2000,2.362104,2,head_bob,0.115535,-0.001884,-0.002044,-0.000836,-0.006464
211,4.2200,2.613348,2,head_bob,0.115518,-0.001937,-0.001485,-0.000862,-0.000071
212,4.2400,2.864591,2,head_bob,0.115510,-0.001702,-0.000644,0.000217,0.020793
213,4.2600,3.115835,2,head_bob,0.115489,-0.001239,0.000570,-0.002035,0.018200
214,4.2800,-2.916107,2,head_bob,0.115451,-0.001098,0.001928,-0.001669,-0.003483
