step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
174,3.4800,-0.399482,1,weight_shift,0.115411,-0.003508,-0.000355,0.000109,-0.000770
175,3.5000,-0.148238,1,weight_shift,0.115412,-0.003555,-0.000707,-0.000015,-0.001150
176,3.5200,0.103006,1,weight_shift,0.115411,-0.003612,-0.001302,-0.000032,-0.000772
177,3.5400,0.354249,1,weight_shift,0.115416,-0.003621,-0.002043,0.000287,0.000794
178,3.5600,0.605493,1,weight_shift,0.115420,-0.003669,-0.002733,0.000134,-0.000320
179,3.5800,0.856737,1,weight_shift,0.115425,-0.003677,-0.003504,0.000534,0.006075
180,3.6000,1.107980,1,weight_shift,0.115433,-0.003650,-0.004079,0.000330,0.002259
181,3.6200,1.359224,1,weight_shift,0.115439,-0.003622,-0.004502,0.000255,0.003311
182,3.6400,1.610468,1,weight_shift,0.115450,-0.003554,-0.004907,0.000357,0.002768
183,3.6600,1.861711,1,weight_shift,0.115453,-0.003559,-0.005164,0.000039,-0.000691
184,3.6800,2.112955,1,weight_shift,0.115457,-0.003575,-0.005372,0.000176,-0.001868
185,3.7000,2.364198,1,weight_shift,0.115458,-0.003648,-0.005495,-0.000028,-0.003342
186,3.7200,2.615442,1,weight_shift,0.115456,-0.003705,-0.005653,-0.000144,-0.001716
187,3.7400,2.866686,1,weight_shift,0.115457,-0.003732,-0.005683,-0.000074,-0.003593
188,3.7600,3.117929,1,weight_shift,0.115464,-0.003698,-0.005422,0.000587,0.004590
189,3.7800,-2.914012,1,weight_shift,0.115459,-0.003644,-0.005011,-0.000470,0.000783
190,3.8000,-2.662769,1,weight_shift,0.115444,-0.003743,-0.004346,-0.000902,-0.008511
191,3.8200,-2.411525,1,weight_shift,0.115428,-0.003821,-0.003555,-0.000390,-0.002153
192,3.8400,-2.160281,1,weight_shift,0.115420,-0.003864,-0.002685,-0.000415,-0.004470
193,3.8600,-1.909038,1,weight_shift,0.115412,-0.003846,-0.001771,-0.000355,-0.000477
194,3.8800,-1.657794,1,weight_shift,0.115411,-0.003750,-0.001031,0.000128,0.001080
195,3.9000,-1.406551,1,weight_shift,0.115410,-0.003684,-0.000330,-0.000161,0.001560
196,3.9200,-1.155307,1,weight_shift,0.115405,-0.003615,0.000055,-0.000196,0.002291
197,3.9400,-0.904063,1,weight_shift,0.115404,-0.003546,0.000111,0.000105,0.002365
198,3.9600,-0.652820,1,weight_shift,0.115405,-0.003553,0.000113,-0.000060,-0.000581
199,3.9800,-0.401576,1,weight_shift,0.115402,-0.003565,-0.000109,-0.000122,0.000485
200,4.0000,-0.150332,1,weight_shift,0.115403,-0.003557,-0.000664,0.000200,0.006517
201,4.0200,0.100911,1,weight_shift,0.115408,-0.003579,-0.001228,0.000181,-0.000892
202,4.0400,0.352155,1,weight_shift,0.115410,-0.003644,-0.001872,0.000069,-0.000883
203,4.0600,0.603399,1,weight_shift,0.115415,-0.003653,-0.002699,0.000418,0.003383
204,4.0800,0.854642,1,weight_shift,0.115422,-0.003661,-0.003390,0.000266,0.001490
205,4.1000,1.105886,1,weight_shift,0.115427,-0.003650,-0.004012,0.000216,0.003431
206,4.1200,1.357129,1,weight_shift,0.115438,-0.003570,-0.004565,0.000431,0.004445
